                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.64588,                 1.6093,                0.96301,                0.53998,                0.71319,                0.63289,                0.53931,                0.60007,                 1.0715,                0.98404,               0.000332,               0.000332,               0.000332
                      2,                0.64158,                0.93378,                0.95154,                0.74834,                0.83514,                0.83996,                0.72187,                 0.5586,                0.70152,                0.95276,             0.00065875,             0.00065875,             0.00065875
                      3,                0.64351,                 0.8475,                0.94569,                0.70264,                0.86144,                0.82649,                0.72172,                0.53771,                0.66214,                0.94333,             0.00097889,             0.00097889,             0.00097889
                      4,                0.62492,                 0.7842,                 0.9435,                0.62995,                0.90787,                0.79322,                0.69517,                0.54963,                0.68245,                0.94842,              0.0009703,              0.0009703,              0.0009703
                      5,                0.62813,                0.76037,                0.94403,                0.67767,                0.71305,                0.76468,                0.65866,                0.58574,                   1.08,                0.98251,              0.0009703,              0.0009703,              0.0009703
                      6,                0.60721,                0.68164,                0.93109,                0.69409,                0.89571,                0.85242,                 0.7466,                0.54674,                0.63505,                0.93374,              0.0009604,              0.0009604,              0.0009604
                      7,                0.58737,                0.66757,                0.92724,                 0.6689,                0.91617,                0.82484,                0.74117,                0.51291,                0.67527,                 0.9217,              0.0009505,              0.0009505,              0.0009505
                      8,                0.58175,                0.62704,                0.92114,                0.86284,                0.81246,                0.91335,                0.81809,                0.49369,                0.57596,                 0.9169,              0.0009406,              0.0009406,              0.0009406
                      9,                0.57816,                 0.6037,                0.92368,                0.86649,                0.91168,                0.93833,                0.83447,                0.52732,                 0.4998,                0.92178,              0.0009307,              0.0009307,              0.0009307
                     10,                0.56615,                 0.5835,                0.92011,                0.84105,                0.90095,                0.93856,                0.84896,                0.47532,                 0.4424,                0.91132,              0.0009208,              0.0009208,              0.0009208
                     11,                0.56066,                0.58565,                0.91319,                 0.8873,                0.89832,                0.94592,                0.85574,                0.48098,                 0.4214,                0.90365,              0.0009109,              0.0009109,              0.0009109
                     12,                0.55087,                0.53361,                0.91063,                 0.8639,                0.95628,                 0.9588,                0.87356,                0.46217,                0.40708,                0.89862,               0.000901,               0.000901,               0.000901
                     13,                0.54193,                0.54262,                0.91162,                0.87632,                0.92521,                0.96087,                0.87956,                0.46766,                 0.4275,                0.90781,              0.0008911,              0.0008911,              0.0008911
                     14,                 0.5409,                0.52025,                0.90633,                0.85793,                0.89533,                0.93484,                0.85162,                0.46564,                0.44361,                0.89642,              0.0008812,              0.0008812,              0.0008812
                     15,                0.54325,                0.52442,                0.91007,                0.88059,                0.94813,                0.97265,                0.88283,                0.47079,                0.36704,                0.89991,              0.0008713,              0.0008713,              0.0008713
                     16,                0.52242,                0.48839,                0.89961,                0.90157,                0.86243,                0.94303,                0.86287,                0.46919,                0.51744,                0.91008,              0.0008614,              0.0008614,              0.0008614
                     17,                0.52035,                0.48727,                0.89884,                0.87374,                0.93974,                   0.96,                0.88026,                0.44966,                0.40026,                0.89837,              0.0008515,              0.0008515,              0.0008515
                     18,                0.52072,                0.47431,                0.89983,                0.81925,                0.92281,                0.94332,                0.86839,                0.45715,                0.47202,                0.89262,              0.0008416,              0.0008416,              0.0008416
                     19,                0.50903,                0.46246,                 0.8966,                0.91215,                0.90411,                 0.9529,                0.87389,                 0.4463,                0.41631,                0.89085,              0.0008317,              0.0008317,              0.0008317
                     20,                0.51317,                0.46237,                0.89706,                0.90572,                0.91403,                0.97658,                0.89977,                0.44949,                0.36113,                0.88681,              0.0008218,              0.0008218,              0.0008218
                     21,                0.50255,                0.44633,                0.88829,                0.87506,                0.92785,                0.96558,                 0.8849,                0.45776,                0.41803,                0.89187,              0.0008119,              0.0008119,              0.0008119
                     22,                0.50279,                0.42338,                0.89201,                0.88706,                0.92584,                0.96895,                0.89384,                0.43925,                0.39451,                0.89402,               0.000802,               0.000802,               0.000802
                     23,                0.50803,                0.44373,                0.89203,                0.93931,                0.91771,                 0.9794,                0.90189,                0.43699,                0.34587,                0.88712,              0.0007921,              0.0007921,              0.0007921
                     24,                0.49077,                0.42304,                0.89014,                0.93268,                0.95879,                0.98152,                0.90799,                0.43814,                0.34009,                0.89261,              0.0007822,              0.0007822,              0.0007822
                     25,                0.49032,                0.40037,                0.89152,                0.94305,                 0.9548,                0.98333,                0.90523,                0.43934,                0.31456,                0.89073,              0.0007723,              0.0007723,              0.0007723
                     26,                 0.4863,                0.39747,                0.88647,                0.90437,                0.92393,                0.96648,                0.89181,                0.42753,                 0.3801,                0.88398,              0.0007624,              0.0007624,              0.0007624
                     27,                0.49571,                0.40767,                0.88677,                0.92081,                0.93687,                0.97156,                0.89087,                0.44731,                0.36068,                0.89499,              0.0007525,              0.0007525,              0.0007525
                     28,                0.47236,                0.38353,                0.88089,                 0.9259,                0.96531,                0.98607,                0.91247,                0.43067,                 0.2955,                0.88471,              0.0007426,              0.0007426,              0.0007426
                     29,                0.47426,                0.38662,                0.88041,                0.92404,                0.93685,                0.97128,                0.90007,                0.41898,                0.34087,                0.87988,              0.0007327,              0.0007327,              0.0007327
                     30,                0.48361,                0.40613,                0.88161,                0.92722,                0.94519,                0.97803,                0.90579,                0.43229,                0.33956,                0.88441,              0.0007228,              0.0007228,              0.0007228
                     31,                0.48112,                0.38279,                0.87955,                0.91843,                0.95182,                0.97791,                 0.9051,                0.44274,                0.35135,                0.88061,              0.0007129,              0.0007129,              0.0007129
                     32,                0.46643,                0.36809,                0.87782,                0.93637,                0.93792,                  0.985,                0.91435,                0.42772,                0.29937,                0.88149,               0.000703,               0.000703,               0.000703
                     33,                0.46211,                0.37059,                0.88083,                0.93758,                 0.9209,                0.98461,                0.91646,                0.41937,                0.31078,                0.88166,              0.0006931,              0.0006931,              0.0006931
                     34,                0.46673,                0.35697,                0.88083,                0.93649,                0.92561,                0.97464,                0.90514,                0.42098,                0.34875,                0.88229,              0.0006832,              0.0006832,              0.0006832
                     35,                0.46746,                0.35024,                0.87958,                0.91307,                0.94507,                0.97595,                0.90704,                0.42002,                0.32332,                0.87933,              0.0006733,              0.0006733,              0.0006733
